№,名称,よみ,所在地,所有者,種別,指定年月日
155,観音菩薩立像,かんのんぼさつりゅうぞう,山田町仁井谷,高蔵寺,市指定　有形文化財彫刻,2026年5月1日
156,法華経版木,ほけきょうはんぎ,内郷白水町広畑,願成寺,市指定　有形文化財工芸品,1968年12月27日
157,刀（銘）吉田源国光,かたな,平字一町目,個人,市指定　有形文化財工芸品,1968年12月27日
158,短刀（銘）忠興,たんとう,平下神谷字立田帯,個人,市指定　有形文化財工芸品,1968年12月27日
159,鉄製雲版,てつせいうんばん,小名浜住吉字新町,保福寺,市指定　有形文化財工芸品,1968年12月27日
160,刀（銘）和泉守藤原国虎,かたな,平字掻槌小路,個人,市指定　有形文化財工芸品,1968年12月27日
161,刀（銘）根本和泉守藤原国虎,かたな,平字一町目,個人,市指定　有形文化財工芸品,1968年12月27日
162,刀（銘）八幡大菩薩鈴木加賀守源貞則,かたな,平字高月,個人,市指定　有形文化財工芸品,1968年12月27日
163,鉄製懸仏,てつせいかけぼとけ,内郷白水町広畑,常盤神社,市指定　有形文化財工芸品,1968年12月27日
164,槍（銘）和泉守国虎,やり,平字材木町,個人,市指定　有形文化財工芸品,1976年5月27日
165,銅製鰐口,どうせいわにぐち,平豊間字下ノ内,諏訪神社,市指定　有形文化財工芸品,1976年11月3日
166,尼子焼徳利・鉢,あまこやきとっくり・はち,平字一町目,個人,市指定　有形文化財工芸品,1977年11月1日
167,刀（銘）藤嶋友重作,かたな,常磐岩ヶ岡町山ノ根,個人,市指定　有形文化財工芸品,1977年11月1日
168,刀（銘）鈴木加賀守源貞則,かたな,平字堂根町（美術館）,いわき市,市指定　有形文化財工芸品,1977年11月1日
169,鐔（銘）陸奥岩城平住正次作,つば,平字堂根町（美術館）,いわき市,市指定　有形文化財工芸品,1977年11月1日
170,刀（脇差）（銘）和泉守藤原国虎,かたな（わきざし）,平字材木町,個人,市指定　有形文化財工芸品,1979年4月14日
171,木造薬師如来懸仏,もくぞうやくしにょらいかけぼとけ,久之浜町田之網字横内,波立寺,市指定　有形文化財工芸品,1979年4月14日
172,国魂神社梵鐘,くにたまじんじゃぼんしょう,勿来町窪田馬場,国魂神社,市指定　有形文化財工芸品,1982年3月16日
173,馬寮馬具,めりょうばぐ,平字旧城跡,龍が城美術館,市指定　有形文化財工芸品,1983年3月25日
174,法海寺梵鐘,ほっかいじぼんしょう,常磐藤原町字田場坂,法海寺,市指定　有形文化財工芸品,1986年3月28日
175,石森観音堂鰐口,いしのもりかんのんどうわにぐち,平四ッ波字石森,忠教寺,市指定　有形文化財工芸品,1987年3月31日
176,神照寺木造懸仏,じんしょうじもくぞうかけぼとけ,平下神谷字宿,神照寺,市指定　有形文化財工芸品,1987年3月31日
177,木造扁額「禅勝山」・「龍門寺」,もくぞうへんがく「ぜんしょうざん」「りゅうもんじ」,平下荒川字諏訪下,龍門寺,市指定　有形文化財工芸品,1989年3月25日
178,猿楽面及猿田彦面,さるがくめんおよびさるたひこめん,平中神谷字石脇,出羽神社,市指定　有形文化財工芸品,1992年3月27日
179,黒漆塗金蒔絵葵紋几帳,くろうるしぬりきんまきえあおいもんきちょう,平山崎字梅福山,専称寺,市指定　有形文化財工芸品,1992年3月27日
180,浄光院梵鐘,じょうこういんぼんしょう,小名浜字古湊,浄光寺,市指定　有形文化財工芸品,1994年3月25日
181,飯野八幡宮神輿,いいのはちまんぐうしんよ,平字八幡小路,飯野八幡宮,市指定　有形文化財工芸品,1994年3月25日
182,竹林七賢図硯屏,ちくりんしちけんずけんびょう,平字八幡小路,個人,市指定　有形文化財工芸品,1999年4月30日
183,仙女蟠桃図硯屏,せんにょはんとうずけんびょう,平字八幡小路,個人,市指定　有形文化財工芸品,1999年4月30日
184,桐鳳凰図硯屏,きりほうおうずけんびょう,平字一町目,個人,市指定　有形文化財工芸品,1999年4月30日
185,山水鈕銅印,さんすいちゅうどういん,平字一町目,個人,市指定　有形文化財工芸品,1999年4月30日
186,絹谷諏訪神社の祭札幕,きぬやすわじんじゃのさいれいまく,平絹谷字諏訪作,絹谷諏訪神社,市指定　有形文化財工芸品,2000年4月28日
187,猿田彦面,さるたひこめん,平中神谷字立鉾,立鉾鹿島神社,市指定　有形文化財工芸品,2006年4月28日
188,猿田彦面,さるたひこめん,平字八幡小路,飯野八幡宮,市指定　有形文化財工芸品,2011年10月20日
189,安藤家累代の寄進状,あんどうけるいだいのきしんじょう,常磐藤原町手這（考古資料館）,いわき市,市指定　有形文化財書跡,1968年12月27日
190,禅福寺文書,ぜんぷくじもんじょ,小名浜野田字八合,禅福寺,市指定　有形文化財書跡,1977年5月4日
191,天田愚庵の遺偈,あまだぐあんのゆいげ,常磐湯本町三函,個人,市指定　有形文化財書跡,1979年11月17日
