全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL_1,画像_2,画像ライセンス,備考_3
222119,BB00000045,静岡県磐田市,熊野絵巻,ユヤエマキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000046,静岡県磐田市,掛塚祭屋台囃子,カケツカマツリヤタイバヤシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000047,静岡県磐田市,旧中泉御殿裏門,キュウナカイズミゴテンウラモン,,,,,,,,静岡県磐田市中泉254-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000048,静岡県磐田市,旧見付宿脇本陣大三河屋門,キュウミツケシュクワキホンジンオオミカワヤモン,,,,,,,,静岡県磐田市見付2593番１他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000049,静岡県磐田市,旧中泉代官所門,キュウナカイズミダイカンショモン,,,,,,,,静岡県磐田市個人蔵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000050,静岡県磐田市,西光寺表門,サイコウジオモテモン,,,,,,,,静岡県磐田市見付3353‐1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000051,静岡県磐田市,旧赤松家塀・土蔵,キュウアカマツケヘイ・ドゾウ,,,,,,,,静岡県磐田市見付3884‐1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000052,静岡県磐田市,府八幡宮中門,フハチマングウナカモン,,,,,,,,静岡県磐田市中泉112-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000053,静岡県磐田市,府八幡宮本殿及び拝殿付幣殿,フハチマングウホンデンオヨビハイデンツキヘイデン,,,,,,,,静岡県磐田市中泉112-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000054,静岡県磐田市,僧形八幡神像,ソウギョウハチマンシンゾウ,,,,,,,,静岡県磐田市中泉112-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
