全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,住所
382019,0000000084,愛媛県松山市,僧都碑,ソウズヒ,,,市指定有形文化財,建造物,,382019,64000,愛媛県松山市小浜下の屋敷,愛媛県,松山市,小浜下の屋敷,,,33.96930241,132.6291264,,,,,,,,,1,基,,,1983‐5,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/obama_souzuhi.html,,愛媛県松山市小浜下の屋敷
382019,0000000085,愛媛県松山市,宇和間港建設碑,ウワマコウケンセツヒ,,,市指定有形文化財,建造物,,382019,46000,愛媛県松山市宇和間,愛媛県,松山市,宇和間,,,33.96997408,132.5881037,,,,,,,,,1,基,,,1983‐5,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/uwama_kensetsuhi.html,,愛媛県松山市宇和間
382019,0000000086,愛媛県松山市,桑名神社本殿,クワナジンジャホンデン,,,市指定有形文化財,建造物,,382019,218000,愛媛県松山市中島粟井,愛媛県,松山市,中島粟井,,,33.99622679,132.6401068,,,,,,,,,1,棟,,,1986/12/5,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/kuwanajinja_nonden.html,,愛媛県松山市中島粟井
382019,0000000087,愛媛県松山市,北谷古墳,キタダニコフン,,,市指定史跡,その他,,382019,264000,愛媛県松山市福角町,愛媛県,松山市,福角町,,,33.90443218,132.7608709,,,,,,,,,1,基,,,1962/11/5,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/kitadani_kofun.html,,愛媛県松山市福角町
382019,0000000088,愛媛県松山市,波賀部神社古墳,ハガベジンジャコフン,,,市指定史跡,その他,,382019,164000,愛媛県松山市高井町,愛媛県,松山市,高井町,,,33.7969987,132.8100205,,,,,,,,,1,基,,,1965/11/8,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/hakabejinja_kofun.html,,愛媛県松山市高井町
382019,0000000089,愛媛県松山市,石手寺古墳　第１号、第２号,イシテジコフン　ダイイチゴウ　ダイニゴウ,,,市指定史跡,その他,,382019,18002,愛媛県松山市石手2,愛媛県,松山市,石手,2,,33.84854629,132.795478,,,,,,,,,2,基,,,1967/5/24,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/isiteji_kofun.html,,愛媛県松山市石手2
382019,0000000090,愛媛県松山市,八ツ塚群集古墳,ヤツヅカグンシュウコフン,,,市指定史跡,その他,,382019,49000,愛媛県松山市恵原町,愛媛県,松山市,恵原町,,,33.76702556,132.8074792,,,,,,,,,8,基,,,1968/10/25,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/yatsuduka_kofun.html,,愛媛県松山市恵原町
382019,0000000091,愛媛県松山市,三輪田米山の墓,ミワダベイザンノハカ,,,市指定史跡,その他,,382019,169000,愛媛県松山市鷹子町,愛媛県,松山市,鷹子町,,,33.81711456,132.8077012,,,,,,,,,1,基,,,1970/5/18,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/miwatabeizanno_haka.html,,愛媛県松山市鷹子町
382019,0000000092,愛媛県松山市,三上是庵の墓,ミカミゼアンノハカ,,,市指定史跡,その他,,382019,8001,愛媛県松山市朝日ケ丘1,愛媛県,松山市,朝日ケ丘,1,,33.84604093,132.7438108,,,,,,,,,1,基,,,1970/5/18,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/mikamizeanno_haka.html,,愛媛県松山市朝日ケ丘1
382019,0000000093,愛媛県松山市,吉田蔵澤の墓,ヨシダゾウタクノハカ,,,市指定史跡,その他,,382019,291005,愛媛県松山市本町5,愛媛県,松山市,本町,5,,33.85078481,132.7581534,,,,,,,,,1,基,,,1970/5/18,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/yosidazoutakuno_haka.html,,愛媛県松山市本町5
382019,0000000094,愛媛県松山市,松本山雪の墓,マツモトサンセツノハカ,,,市指定史跡,その他,,382019,196000,愛媛県松山市土居町,愛媛県,松山市,土居町,,,33.79975667,132.7896422,,,,,,,,,1,基,,,1981/1/19,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/yamamotosansetu_haka.html,,愛媛県松山市土居町
382019,0000000095,愛媛県松山市,蒲生忠知供養碑,ガモウタダトモクヨウヒ,,,市指定史跡,その他,,382019,155000,愛媛県松山市末広町,愛媛県,松山市,末広町,,,33.83404714,132.7640978,,,,,,,,,1,基,,,1982/4/13,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/gamoutadachika_haka.html,,愛媛県松山市末広町
382019,0000000096,愛媛県松山市,浅山勿斎の墓,アサヤマモッサイノハカ,,,市指定史跡,その他,,382019,35000,愛媛県松山市祝谷東町,愛媛県,松山市,祝谷東町,,,33.85737376,132.7847051,,,,,,,,,1,基,,,1987/5/26,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/asayamamossaino_haka.html,,愛媛県松山市祝谷東町
382019,0000000097,愛媛県松山市,奥平貞幹の墓,オクダイラサダモト（テイカン）ノハカ,,,市指定史跡,その他,,382019,8001,愛媛県松山市朝日ケ丘1,愛媛県,松山市,朝日ケ丘,1,,33.84649391,132.7446357,,,,,,,,,1,基,,,1987/5/26,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/okudairasadamotohaka.html,,愛媛県松山市朝日ケ丘1
382019,0000000098,愛媛県松山市,山の神古戦場,ヤマノカミコセンジョウ,,,市指定史跡,その他,,382019,58000,愛媛県松山市小川,愛媛県,松山市,小川,,,33.92270352,132.7587476,,,,,,,,,,,,,1966/4/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/yamanokami_kosenjou.html,,愛媛県松山市小川
