全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
041009,000000000624,,野口鹿踊,ノグチノシシオドリ,,Shishiodori dance in Noguchi district,県指定無形民俗文化財,,,041041,,宮城県仙台市太白区秋保町馬場,宮城県,仙台市,太白区秋保町馬場,,,,,,,,,,,,,,,,野口鹿踊保存会,1972-10-11,,,,,,,,,,,,
041009,000000000625,,川前鹿踊・川前剣舞,カワマエノシシオドリ・カワマエノケンバイ,,Shishiodori dance and Kenbai dance in Kawamae district ,県指定無形民俗文化財,,,041017,,宮城県仙台市青葉区芋沢,宮城県,仙台市,青葉区芋沢,,,,,,,,,,,,,,,,川前の鹿踊剣舞保存会,1973-11-06,,,,,,,,,,,,
041009,000000000626,,福岡の鹿踊・剣舞,フクオカノシシオドリ・ケンバイ,,Shishiodori dance and Kenbai dance in Fukuoka district,県指定無形民俗文化財,,,041050,,宮城県仙台市泉区福岡,宮城県,仙台市,泉区福岡,,,,,,,,,,,,,,,,福岡の鹿踊・剣舞保存会,1991-08-30,,,,,,,,,,,,
041009,000000000627,,滝原の顕拝,タキハラノケンバイ,,Kenbai dance in Takihara district,県指定無形民俗文化財,,,041041,,宮城県仙台市太白区秋保町馬場,宮城県,仙台市,太白区秋保町馬場,,,,,,,,,,,,,,,,滝原の顕拝保存会,1991-08-30,,,,,,,,,,,,
041009,000000000628,,上谷刈の鹿踊・剣舞,カミヤガリノシシオドリ・ケンバイ,,Shishiodori dance and Kenbai dance in Kamiyagari district,県指定無形民俗文化財,,,041050,,宮城県仙台市泉区上谷刈,宮城県,仙台市,泉区上谷刈,,,,,,,,,,,,,,,,上谷刈の鹿踊・剣舞保存会,1999-10-29,,,,,,,,,,,,
041009,000000000629,,鷲倉神社の姥杉,ワシクラジンジャノウバスギ,,Cedar tree in Washikura jinja shrine,県指定天然記念物,,,041050,,宮城県仙台市泉区福岡字小山19-2,宮城県,仙台市,泉区福岡字小山,19-2,,,,,,,,,,,,,,,鷲倉神社,1998-01-16,,,,,,,,,,,,
041009,000000000630,,賀茂神社のイロハモミジ,カモジンジャノイロハモミジ,,Maple trees in Kamo jinja shrine,県指定天然記念物,,,041050,,宮城県仙台市泉区古内字糺1,宮城県,仙台市,泉区古内字糺,1,,,,,,,,,,,,,,,賀茂神社,1999-07-02,,,,,,,,,,,,
041009,000000000632,,賀茂神社のタラヨウ,カモジンジャノタラヨウ,,Tarayo trees in Kamo jinja shrine,県指定天然記念物,,,041050,,宮城県仙台市泉区古内字糺1,宮城県,仙台市,泉区古内字糺,1,,,,,,,,,,,,,,,賀茂神社,1999-07-02,,,,,,,,,,,,
041009,000000000633,,善応寺開山堂,ゼンノウジカイザンドウ,,Kaizando (building dedicated to the founder) at Zennoji temple,市指定有形文化財,建造物,,041025,,宮城県仙台市宮城野区燕沢2丁目3-1,宮城県,仙台市,宮城野区燕沢2丁目,3-1,,,,,,,,,,,,,,,善応寺,1968-02-15,,,,,,,,,,,,
041009,000000000634,,旧歩兵第四連隊兵舎,キュウホヘイダイヨンレンタイヘイシャ,,The former fourth regiment's barracks,県指定有形文化財,建造物,,041025,,宮城県仙台市宮城野区五輪1丁目301番3,宮城県,仙台市,宮城野区五輪1丁目,301番3,,,,,,,,,,,,,,,仙台市,2023-03-24,,,,,,,,,,,,
041009,000000000635,,旧伊達邸,キュウダテテイ,,Former residence of the Date family,市指定有形文化財,建造物,,041041,,宮城県仙台市太白区茂庭字人来田西143-3,宮城県,仙台市,太白区茂庭字人来田西,143-3,,,,,,,,,,,,,,,仙台市,1983-12-01,,,,,,,,,,,,
041009,000000000636,,大年寺惣門,ダイネンジソウモン,,Gate of Dainenji temple,市指定有形文化財,建造物,,041041,,宮城県仙台市太白区茂ヶ崎4丁目40番地の2地先,宮城県,仙台市,太白区茂ヶ崎4丁目,40番地の2地先,,,,,,,,,,,,,,,（仙台市）,1985-09-04,,,,,,,,,,,,
041009,000000000637,,成覚寺山門(旧浄眼院殿霊屋門),ジョウカクジサンモン(キュウジョウゲンインデンタマヤモン),,"Gate of Jokakuji  temple,former Tamayamon (gate to the mausoleum) of Jogenin",市指定有形文化財,建造物,,041033,,宮城県仙台市若林区新寺3丁目10-12,宮城県,仙台市,若林区新寺3丁目,10-12,,,,,,,,,,,,,,,成覚寺,1986-12-20,,,,,,,,,,,,
041009,000000000638,,荘厳寺山門,ショウゴンジサンモン,,Gate of Shogonji temple,市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区新坂町12-1,宮城県,仙台市,青葉区新坂町,12-1,,,,,,,,,,,,,,,荘厳寺,1986-12-20,,,,,,,,,,,,
041009,000000000639,,輪王寺山門,リンノウジサンモン,,Gate of Rinnoji temple,市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区北山1丁目14-1,宮城県,仙台市,青葉区北山1丁目,14-1,,,,,,,,,,,,,,,輪王寺,1986-12-20,,,,,,,,,,,,
041009,000000000640,,大満寺虚空蔵堂,ダイマンジコクゾウドウ,,Kokuzodo hall of Daimanji temple,市指定有形文化財,建造物,,041041,,宮城県仙台市太白区向山4丁目4-1,宮城県,仙台市,太白区向山4丁目,4-1,,,,,,,,,,,,,,,大満寺,1987-03-30,,,,,,,,,,,,
041009,000000000641,,大願寺山門(旧万寿院殿霊屋門),ダイガンジサンモン(キュウマンジュインデンタマヤモン),,"Gate of Daiganji temple,former Tamayamon (gate to the mausoleum) of Manjuin",市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区新坂町7-1,宮城県,仙台市,青葉区新坂町,7-1,,,,,,,,,,,,,,,大願寺,1987-03-30,,,,,,,,,,,,
041009,000000000642,,泰心院山門(旧仙台藩藩校養賢堂正門),タイシンインサンモン(キュウセンダイハンハンコウヨウケンドウセイモン),,"Gate of Taishinin temple (former main gate of Yokendo,school of the Sendai clan)",市指定有形文化財,建造物,,041033,,宮城県仙台市若林区南鍛冶町100,宮城県,仙台市,若林区南鍛冶町,100,,,,,,,,,,,,,,,泰心院,1987-03-30,,,,,,,,,,,,
041009,000000000643,,宇那禰神社本殿,ウナネジンジャホンデン,,Honden (main building) of Unanejinja shrine,市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区芋沢字明神12,宮城県,仙台市,青葉区芋沢字明神,12,,,,,,,,,,,,,,,宇那禰神社,1972-12-27,,,,,,,,,,,,
041009,000000000644,,臨済院地内弁財天堂並びに堂地,リンザイインチナイベンザイテンドウナラビニドウチ,,Benzaitendo hall and the site of Rinzaiin temple,市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区臨済院,宮城県,仙台市,青葉区臨済院,,,,,,,,,,,,,,,,個人,1987-09-11,,,,,,,,,,,,
041009,000000000645,,小滝沢橋,コタキザワバシ,,Kotakizawa-bashi bridge,市指定有形文化財,建造物,,041041,,宮城県仙台市太白区秋保町馬場字駅,宮城県,仙台市,太白区秋保町馬場字駅,,,,,,,,,,,,,,,,仙台市,1983-08-01,,,,,,,,,,,,
041009,000000000646,,旧熊谷家住宅,キュウクマガイケジュウタク,,Former house of the Kumagai family,市指定有形文化財,建造物,,041050,,宮城県仙台市泉区福岡字岳山9-5,宮城県,仙台市,泉区福岡字岳山,9-5,,,,,,,,,,,,,,,仙台市,1986-04-01,,,,,,,,,,,,
041009,000000000647,,旧石垣家住宅,キュウイシガキケジュウタク,,Former house of the Ishigaki family,市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区大倉字若林14-2,宮城県,仙台市,青葉区大倉字若林,14-2,,,,,,,,,,,,,,,仙台市,1994-03-29,,,,,,,,,,,,
041009,000000000648,,愛宕神社本殿・拝殿,アタゴジンジャホンデン・ハイデン,,Honden (main building) and Haiden (worship building) of Atagojinja shrine,市指定有形文化財,建造物,,041041,,宮城県仙台市太白区向山4丁目17-1,宮城県,仙台市,太白区向山4丁目,17-1,,,,,,,,,,,,,,,愛宕神社,1996-01-30,,,,,,,,,,,,
041009,000000000650,,毘沙門堂唐門,ビシャモンドウカラモン,,Karamon style gate of Bishamondo hall,市指定有形文化財,建造物,,041033,,宮城県仙台市若林区荒町206番地,宮城県,仙台市,若林区荒町,206番地,,,,,,,,,,,,,,,満福寺,1996-01-30,,,,,,,,,,,,
041009,000000000651,,旧姉歯家茶室(残月亭),キュウアネハケチャシツ(ザンゲツテイ),,"Former Aneha family tea house,Zangetsutei",市指定有形文化財,建造物,,041017,,宮城県仙台市青葉区川内追廻無番地,宮城県,仙台市,青葉区川内追廻無番地,,,,,,,,,,,,,,,,仙台市,1997-07-01,,,,,,,,,,,,
041009,000000000652,,紙本著色伊達政宗画像　狩野探幽筆,シホンチャクショクダテマサムネガゾウ　カノウタンユウヒツ,,"Date Masamune,color on paper by Kano Tanyu",市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1969-07-31,,,,,,,,,,,,
041009,000000000653,,菊絵和歌屏風,キクエワカビョウブ,,Chrysanthemum painting and Waka (Japanese poem) on folding screen,市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1976-07-01,,,,,,,,,,,,
041009,000000000654,,躑躅ヶ岡花見図屏風,ツツジガオカハナミズビョウブ,,Flower viewing in Tsutsujigaoka on folding screen　,市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1976-07-01,,,,,,,,,,,,
041009,000000000655,,菅井梅関水亭午翠図,スガイバイカンスイテイゴスイズ,,Landscape painting by Sugai Baikan,市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1976-07-01,,,,,,,,,,,,
041009,000000000656,,仙台城旧本丸及び二ノ丸御殿障壁画,センダイジョウキュウホンマルオヨビニノマルゴテンショウヘキガ,,Pictures painted on the wall of Honmaru goten palace and Ninomaru goten palace of Sendai castle,市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1985-09-04,,,,,,,,,,,,
041009,000000000659,,仙台藩歴代藩主及夫人肖像画,センダイハンレキダイハンシュオヨビフジンショウゾウガ,,Sendai clan portraits of feudal lords and their wives,市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1985-09-04,,,,,,,,,,,,
041009,000000000690,,絹本著色霊昭女，牡丹，芙蓉図　伊達綱宗筆,ケンポンチャクショクレイショウジョ，ボタン，フヨウズ　ダテツナムネヒツ,,"Ling Zhaonu (dutiful daughter in Chinese legend),flowers and birds,color on silk by Date Tsunamune",市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1985-09-04,,,,,,,,,,,,
041009,000000000693,,紙本著色河図之図(東東洋筆),シホンチャクショクカトノズ(アズマトウヨウヒツ),,Kato (painting of old Chinese legend)  color on paper by Azuma Toyo ,市指定有形文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1985-09-04,,,,,,,,,,,,
