全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
042064,BB0420640011,宮城県白石市,郡山横穴古墳群,コオリヤマヨコアナコフングン,,,市指定史跡,,,,,宮城県白石市郡山字穴前63,宮城県,白石市,郡山字穴前,32-1,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,67,基,,個人,1973-7-25,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/302.jpg,,現在60数基が確認されており、白石地方最大の横穴群です。,,東北本線白石駅の北東約2km、東からのびる丘陵の崖面にあります。現在60数基が確認されており、白石地方最大の横穴群です。造営年代は明らかではありませんが、その構造などから終末期の横穴古墳群とみられています。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/386.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/302.jpg,,
042064,BB0420640012,宮城県白石市,世良修蔵の墓,セラシュウゾウノハカ,,,市指定史跡,,,,,宮城県白石市福岡蔵本字陣場45-4,宮城県,白石市,福岡蔵本字陣場,45-4,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,財務省,1973-7-25,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/296.jpg,,世良修蔵は長州藩士で、戊辰戦争の際、奥羽鎮撫総督府（おううちんぶそうとくふ）の下参謀として派遣されました。同僚の薩摩藩士大山格之助宛ての密書に「奥羽皆敵」という文言があり、それを見た仙台藩士によって殺害されました。お墓は明治3年（1870）に今の地に改葬され、同8年に墓碑が建てられています。,,世良修蔵は長州藩士で、戊辰戦争の際、奥羽鎮撫総督府（おううちんぶそうとくふ）の下参謀として派遣されました。同僚の薩摩藩士大山格之助宛ての密書に「奥羽皆敵」という文言があり、それを見た仙台藩士によって殺害されました。お墓は明治3年（1870）に今の地に改葬され、同8年に墓碑が建てられています。明治9年（1876）の明治天皇東北巡幸の際には、木戸孝允と当時の磐前県令村上光雄が献灯しています。,,,,有,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/380.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/296.jpg,,
042064,BB0420640013,宮城県白石市,片倉家御廟所,カタクラケゴビョウショ,,,市指定史跡,,,,,宮城県白石市福岡蔵本字愛宕山197-2,宮城県,白石市,福岡蔵本字愛宕山,197-2,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,個人,1973-7-25,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/7942.JPG,,片倉家御廟所は、片倉家の正史「片倉代々記」によると、延宝8年（1680年）に、3代目片倉小十郎景長が輿に乗って城下近郊を廻り片倉家代々の墓所として現在の福岡蔵本の愛宕山に決めたと記され、初代景綱、2代目重長の墓を傑山寺から改葬し、仙台の石工に阿弥陀如来座像を刻ませ墓標としました。,,片倉家御廟所は、片倉家の正史「片倉代々記」によると、延宝8年（1680年）に、3代目片倉小十郎景長が輿に乗って城下近郊を廻り片倉家代々の墓所として現在の福岡蔵本の愛宕山に決めたと記され、初代景綱、2代目重長の墓を傑山寺から改葬し、仙台の石工に阿弥陀如来座像を刻ませ墓標としました。景長が没した後も、先代にならって石像を墓標とし、以後9代までの歴代城主は石像を墓標としました。明治4年に没した10代宗景は角柱上の墓碑となっています。,,,,有,有,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/30773.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/7942.JPG,,
042064,BB0420640014,宮城県白石市,白石城跡,シロイシジョウアト,,,市指定史跡,,,,,宮城県白石市益岡2-3ほか,宮城県,白石市,益岡町,2-3ほか,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,白石市,1982-7-2,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/297.jpg,,江戸時代、白石城は伊達家の重臣片倉氏が代々居城していました。戊辰戦争期には、奥羽越列藩同盟の中心機関である公儀府が置かれたこともありました。,,江戸時代、白石城は伊達家の重臣片倉氏が代々居城していました。戊辰戦争期には、奥羽越列藩同盟の中心機関である公儀府が置かれたこともありました。城郭は明治7年以後随時解体されてしまいましたが、城跡を公園化し春には桜が咲き乱れ大勢の市民や観光客で賑わいと見せてきました。昭和57年に市の史跡に指定され、平成7年には大手門と三階櫓が復元されたことで、さらに多くの人々が集まる公園となりました。,,,,有,有,無,無,有,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/381.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/297.jpg,,
042064,BB0420640015,宮城県白石市,白石焼壺,シロイシヤキツボ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市南町１丁目7-25,宮城県,白石市,南町１丁目,7-25,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,個人,1982-7-2,,,,一般公開していません。,,,片面に片倉家の家紋「上り藤に井桁」が染め付けられ、他面にはダミの施されていない家紋が描かれています。,,壺の形は、口頚部が細くのび、胴下部がふっくらとした卵形です。色合いはいくぶん黄味を帯びた乳白色を呈しています。片面に片倉家の家紋「上り藤に井桁」が染め付けられ、他面にはダミの施されていない家紋が描かれています。昭和57年に市指定（工芸品）となりました。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/375.html,,,
042064,BB0420640016,宮城県白石市,白石焼・山神講徳利,シロイシヤキ・ヤマガミコウトックリ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市字寺屋敷前25-6,宮城県,白石市,字寺屋敷前,25-6,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,白石市,2000-3-15,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/290.jpg,,福岡蔵本原地区の山神講中の伝世品で、肌合いはやや青みを帯び、堅く焼きしまっています。,,福岡蔵本原地区の山神講中の伝世品で、肌合いはやや青みを帯び、堅く焼きしまっています。正面に「山神」、裏面に「文化九申年　願主塩入柳五良」と彫ってあります。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/375.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/290.jpg,,
042064,BB0420640017,宮城県白石市,遠藤家資料・中島家資料,エンドウケシリョウ・ナカジマケシリョウ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市益岡町2-7,宮城県,白石市,益岡町,2-7,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,約6000,点,,個人,2011-3-11,,09:00,17:00（4～10月）、16：00（11～3月）,休館：12月28日～12月31日,http://www.city.shiroishi.miyagi.jp/uploaded/image/283.jpg,,伊達輝宗の重臣であった遠藤基信から代々遠藤家に伝わるものと、伊達晴宗の時に伊達氏に仕え、後に一族の家格までになった中島家の文書群です。,,遠藤家資料・中島家資料は、伊達輝宗の重臣であった遠藤基信から代々遠藤家に伝わるものと、伊達晴宗の時に伊達氏に仕え、後に一族の家格までになった中島家の文書群です。この文書群は戦国期だけにとどまらず、中世や、近世、近代の文書まであり、総数6000点以上におよびます。この文書群の中心的な存在となる遠藤基信は、伊達氏の外交役を担っていたため、会津の蘆名氏をはじめとする伊達氏を取り巻く周辺の大名から、遠藤基信宛に書状が届いており、伊達輝宗時代の南奥羽の情勢をうかがい知ることができる貴重な資料です。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/368.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/283.jpg,,
042064,BB0420640018,宮城県白石市,阿弥陀如来像,アミダニョライゾウ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市字本町62,宮城県,白石市,字本町,62,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,体,,宗教法人　当信寺,1992-4-1,,,,一般公開していません。,,,一木造りで、制作年代は室町時代と推定されます。「風土記御用書出」によると、片倉家中の遊佐勘四郎が大坂夏の陣の際に戦火に包まれた天王寺より持ち帰ったものとあり、 以来当信寺の本尊とされています。,,一木造りで、制作年代は室町時代と推定されます。「風土記御用書出」によると、片倉家中の遊佐勘四郎が大坂夏の陣の際に戦火に包まれた天王寺より持ち帰ったものとあり、 以来当信寺の本尊とされています。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/361.html,,,
042064,BB0420640019,宮城県白石市,釈迦十六善神像,シャカジュウロクゼンシンゾウ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市大平中目字威徳寺1,宮城県,白石市,大平中目字威徳寺,1,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,幅,,宗教法人　威徳寺,2016-4-19,,,,一般公開していません。,,,釈迦十六善神像は、釈迦如来に十六善神を配したもので、除災豊穣や地方によっては雨乞いのため大般若経を転読する大般若会の本尊として祀られています。,,釈迦十六善神像は、釈迦如来に十六善神を配したもので、除災豊穣や地方によっては雨乞いのため大般若経を転読する大般若会の本尊として祀られています。十六善神は般若守護十六善神ともいい、大般若経及びその経の受持者を守護する十六種の夜叉善神をいいます。制作時期は本図の特徴から室町時代（15世紀）頃です。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/30720.html,,,
042064,BB0420640020,宮城県白石市,白石城と家中旗指物屏風,シロイシジョウトカチュウハタサシモノビョウブ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市南町１丁目7-25,宮城県,白石市,南町１丁目,7-25,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,隻,,個人,2023-4-13,,,,一般公開していません。,,,白石城と家中旗指物屏風は、白石城を中心に片倉家家臣の家の旗を並べて描いた屏風です。,,白石城と家中旗指物屏風は、白石城を中心に片倉家家臣の家の旗を並べて描いた屏風です。作者は不明であるものの、白石城を含め当時の景観を実景に基づいて描いていると思われます。また、仙台伊達家をはじめ、他家でも家臣の旗を列挙した資料が確認されているものの、城や周辺景観とともに旗を描き、かつ?風という形式であるのは、全国的にみても珍しい文化財です。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/30722.html,,,
042064,BB0420640021,宮城県白石市,仏涅槃図,ブツネハンズ,,,市指定有形文化財,美術工芸品,,,,宮城県白石市南町１丁目7-35,宮城県,白石市,南町１丁目,7-35,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,幅,,宗教法人　常林寺,2023-4-13,,,,一般公開していません。,,,仏涅槃図は、釈迦の涅槃の情景を描いた作品です。,,仏涅槃図は、釈迦の涅槃の情景を描いた作品です。この涅槃図では、釈迦が、沙羅双樹下の宝床に横たわり、その周りで菩薩や仏弟子、多数の動物などが嘆き悲しむ様子が描かれています。作者は白石出身の絵師川村春洋で、所蔵する常林寺は川村春洋の菩提寺です。春洋は、東東洋に絵を学びつつ江戸や京都に遊歴し、後に法橋に叙せられ、その後藤堂藩の画員となっています。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/30723.html,,,
042064,BB0420640022,宮城県白石市,小原の百矢納め,オバラノヒャクヤオサム,,,市指定無形文化財,芸能,,,,白石市小原地内,宮城県,白石市,小原地内,,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,愛宕神社琴平神社、八幡神社、熊野神社各氏子ほか,2001-4-12,,,,一般公開していません。,http://www.city.shiroishi.miyagi.jp/uploaded/image/285.jpg,,中世から小原地区の伝わる神事で、　百矢納めれば米が百石採れるとのいわれから大的めがけて矢を射るもので、五穀豊穣や家内安全をも祈って行います。,,中世から小原地区の伝わる神事で、愛宕神社のほか、新町の琴平神社、船合屋敷の八幡神社、小倉の熊野神社でそれぞれの氏子を中心に受け継がれてきました。百矢納めれば米が百石採れるとのいわれから大的めがけて矢を射るもので、五穀豊穣や家内安全をも祈って行います。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/370.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/285.jpg,,
042064,BB0420640023,宮城県白石市,榊流大町神楽,サカキリュウオオマチカグラ,,,市指定無形文化財,芸能,,,,宮城県白石市大鷹沢大町,宮城県,白石市,大鷹沢大町,,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,,,大町神楽保存会１２名,2006-5-11,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/294.jpg,,この神楽は、白石市大鷹沢大町の佐藤市郎兵衛ほか5名が明治の初頭に伊勢神宮を訪れた際、その神楽に魅せられ、その後地元に帰って始められたと伝えられています。,,この神楽は、白石市大鷹沢大町の佐藤市郎兵衛ほか5名が明治の初頭に伊勢神宮を訪れた際、その神楽に魅せられ、その後地元に帰って始められたと伝えられています。昭和52年には保存会が結成され、神楽の伝承、公開、そして後継者育成の取り組みが行われています。平成18年にはそうした取り組みが評価され、市の民俗文化財に指定されました。例年4月の八幡神社、白石神明社の春祭りで披露しています。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/378.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/294.jpg,,
042064,BB0420640024,宮城県白石市,栃原の一本杉,トチハラノイッポンスギ,,,市指定天然記念物,,,,,宮城県白石市福岡深谷字栃原山156-1,宮城県,白石市,福岡深谷字栃原,156-1,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,深谷牧野協同組合,2002-3-29,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/300.jpg,,白石市福岡深谷の北東部を流れる平家川の上流に鎮座する不動尊堂の前庭に立っています。樹高25メートル、幹周は4メートル75センチで幹は直立、地上3メートルあたりから上部で四方に枝を出しています。,,白石市福岡深谷の北東部を流れる平家川の上流に鎮座する不動尊堂の前庭に立っています。樹高25メートル、幹周は4メートル75センチで幹は直立、地上3メートルあたりから上部で四方に枝を出しています。樹齢は推定で350年、古くから「栃原の一本杉」として親しまれている市内随一の老杉です。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/384.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/300.jpg,,
042064,BB0420640025,宮城県白石市,傑山寺の一本杉,ケッサンジノイッポンスギ,,,市指定天然記念物,,,,,宮城県白石市南町２丁目213,宮城県,白石市,南町２丁目,213,,,,,,(0224)22-1343,,,https://www.city.shiroishi.miyagi.jp/form/detail.php?sec_sec1=30&lif_id=30718,,9890206,1,本,,宗教法人　傑山寺,2002-3-29,,,,,http://www.city.shiroishi.miyagi.jp/uploaded/image/288.jpg,,白石市南町の傑山寺墓地内に立っている初代片倉小十郎景綱の墓標の一本杉です。,,白石市南町の傑山寺墓地内に立っている初代片倉小十郎景綱の墓標の一本杉です。樹高は25メートル。幹はまっすぐ樹頂まで伸びています。枝数が多く茂っているので、樹形は整い樹勢も旺盛です。,,,,無,無,無,無,無,無,無,http://www.city.shiroishi.miyagi.jp/soshiki/30/373.html,http://www.city.shiroishi.miyagi.jp/uploaded/image/288.jpg,,
