level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	33	0	0	0	729.82	56.22	65.17	7.20	100	令和２年４月１日現在
3	1	34	0	0	0	199.820000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	34	0	0	0	199.820000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	34	0	0	0	199.82	76.67	5.88	5.88	100	門
3	1	35	0	0	0	222.380000	96.709080	53.880000	5.880000	-1	###FLOW###
4	1	35	0	0	0	222.380000	96.709080	53.880000	5.880000	-1	###LINE###
5	1	35	0	0	0	222.38	96.71	17.88	5.88	100	鵜沼家
5	1	35	0	0	1	240.38	96.71	35.88	5.88	100	（武家屋敷）
3	1	35	1	0	0	222.380000	114.369080	53.880000	5.880000	-1	###FLOW###
4	1	35	1	0	0	222.380000	114.369080	53.880000	5.880000	-1	###LINE###
5	1	35	1	0	0	222.38	114.37	11.88	5.88	100	遠藤
5	1	35	1	0	1	234.38	114.37	41.88	5.88	100	家（武家屋敷）
3	1	36	0	0	0	376.130000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	36	0	0	0	376.130000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	36	0	0	0	376.13	76.67	5.88	5.88	100	員
3	1	37	0	0	0	512.470000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	37	0	0	0	512.470000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	37	0	0	0	512.47	76.67	5.88	5.88	100	在
3	1	38	0	0	0	524.470000	76.669080	5.880000	5.880000	-1	###FLOW###
4	1	38	0	0	0	524.470000	76.669080	5.880000	5.880000	-1	###LINE###
5	1	38	0	0	0	524.47	76.67	5.88	5.88	100	地
3	1	39	0	0	0	585.430000	76.669080	29.880000	5.880000	-1	###FLOW###
4	1	39	0	0	0	585.430000	76.669080	29.880000	5.880000	-1	###LINE###
5	1	39	0	0	0	585.43	76.67	29.88	5.88	100	所有者氏名
3	1	40	0	0	0	50.160000	129.609080	2.940000	5.880000	-1	###FLOW###
4	1	40	0	0	0	50.160000	129.609080	2.940000	5.880000	-1	###LINE###
5	1	40	0	0	0	50.16	129.61	2.94	5.88	100	3
3	1	41	0	0	0	67.320000	129.609080	26.848080	5.880000	-1	###FLOW###
4	1	41	0	0	0	67.320000	129.609080	26.848080	5.880000	-1	###LINE###
5	1	41	0	0	0	67.32	129.61	5.88	5.88	100	建
5	1	41	0	0	1	76.30	129.61	17.86	5.88	100	第３号
3	1	42	0	0	0	102.600000	129.729080	59.880000	5.880000	-1	###FLOW###
4	1	42	0	0	0	102.600000	129.729080	59.880000	5.880000	-1	###LINE###
5	1	42	0	0	0	102.60	129.73	59.88	5.88	100	有形文化財（建造物）
3	1	43	0	0	0	187.460000	129.729080	17.880000	5.880000	-1	###FLOW###
4	1	43	0	0	0	187.460000	129.729080	17.880000	5.880000	-1	###LINE###
5	1	43	0	0	0	187.46	129.73	17.88	5.88	100	建造物
3	1	44	0	0	0	222.380000	128.378360	95.883480	3.960000	-1	###FLOW###
4	1	44	0	0	0	222.380000	128.378360	95.883480	3.960000	-1	###LINE###
5	1	44	0	0	0	222.38	128.38	95.88	3.96	100	しょうこうりゅうずならびになきりゅうてんじょうけんぞうぶつ
3	1	45	0	0	0	50.160000	147.249080	2.940000	5.880000	-1	###FLOW###
4	1	45	0	0	0	50.160000	147.249080	2.940000	5.880000	-1	###LINE###
5	1	45	0	0	0	50.16	147.25	2.94	5.88	100	4
3	1	46	0	0	0	67.320000	147.249080	26.848080	5.880000	-1	###FLOW###
4	1	46	0	0	0	67.320000	147.249080	26.848080	5.880000	-1	###LINE###
5	1	46	0	0	0	67.32	147.25	5.88	5.88	100	建
5	1	46	0	0	1	76.30	147.25	17.86	5.88	100	第４号
3	1	47	0	0	0	102.600000	147.369080	59.880000	5.880000	-1	###FLOW###
4	1	47	0	0	0	102.600000	147.369080	59.880000	5.880000	-1	###LINE###
5	1	47	0	0	0	102.60	147.37	59.88	5.88	100	有形文化財（建造物）
3	1	48	0	0	0	187.460000	147.369080	17.880000	5.880000	-1	###FLOW###
4	1	48	0	0	0	187.460000	147.369080	17.880000	5.880000	-1	###LINE###
5	1	48	0	0	0	187.46	147.37	17.88	5.88	100	建造物
3	1	49	0	0	0	222.380000	146.018360	51.895800	3.960000	-1	###FLOW###
4	1	49	0	0	0	222.380000	146.018360	51.895800	3.960000	-1	###LINE###
5	1	49	0	0	0	222.38	146.02	51.90	3.96	100	まえごうひえじんじゃかぐらでん
3	1	50	0	0	0	378.770000	147.369080	11.880000	5.880000	-1	###FLOW###
4	1	50	0	0	0	378.770000	147.369080	11.880000	5.880000	-1	###LINE###
5	1	50	0	0	0	378.77	147.37	11.88	5.88	100	１棟
3	1	51	0	0	0	405.770000	147.369080	44.811480	5.880000	-1	###FLOW###
4	1	51	0	0	0	405.770000	147.369080	44.811480	5.880000	-1	###LINE###
5	1	51	0	0	0	405.77	147.37	44.81	5.88	100	昭和59年7月24日
3	1	52	0	0	0	457.510000	147.369080	65.941200	5.880000	-1	###FLOW###
4	1	52	0	0	0	457.510000	147.369080	65.941200	5.880000	-1	###LINE###
5	1	52	0	0	0	457.51	147.37	65.94	5.88	100	由利本荘市前郷字前郷95
3	1	53	0	0	0	575.110000	147.369080	23.880000	5.880000	-1	###FLOW###
4	1	53	0	0	0	575.110000	147.369080	23.880000	5.880000	-1	###LINE###
5	1	53	0	0	0	575.11	147.37	23.88	5.88	100	日枝神社
3	1	54	0	0	0	378.770000	165.009080	11.880000	5.880000	-1	###FLOW###
4	1	54	0	0	0	378.770000	165.009080	11.880000	5.880000	-1	###LINE###
5	1	54	0	0	0	378.77	165.01	11.88	5.88	100	１棟
3	1	55	0	0	0	405.770000	165.009080	44.811480	5.880000	-1	###FLOW###
4	1	55	0	0	0	405.770000	165.009080	44.811480	5.880000	-1	###LINE###
5	1	55	0	0	0	405.77	165.01	44.81	5.88	100	昭和60年10月1日
3	1	56	0	0	0	457.510000	165.009080	83.941200	5.880000	-1	###FLOW###
4	1	56	0	0	0	457.510000	165.009080	83.941200	5.880000	-1	###LINE###
5	1	56	0	0	0	457.51	165.01	83.94	5.88	100	由利本荘市岩城赤平字梅ヶ沢10
3	1	57	0	0	0	575.110000	165.009080	23.880000	5.880000	-1	###FLOW###
4	1	57	0	0	0	575.110000	165.009080	23.880000	5.880000	-1	###LINE###
5	1	57	0	0	0	575.11	165.01	23.88	5.88	100	熊野神社
3	1	58	0	0	0	222.380000	132.009080	89.880000	5.880000	-1	###FLOW###
4	1	58	0	0	0	222.380000	132.009080	89.880000	5.880000	-1	###LINE###
5	1	58	0	0	0	222.38	132.01	89.88	5.88	100	昇降竜図ならびに鳴竜天井建造物
3	1	58	1	0	0	222.380000	149.649080	53.880000	5.880000	-1	###FLOW###
4	1	58	1	0	0	222.380000	149.649080	53.880000	5.880000	-1	###LINE###
5	1	58	1	0	0	222.38	149.65	11.88	5.88	100	前郷
5	1	58	1	0	1	234.38	149.65	41.88	5.88	100	日枝神社神楽殿
3	1	59	0	0	0	637.660000	76.789080	59.880000	5.880000	-1	###FLOW###
4	1	59	0	0	0	637.660000	76.789080	59.880000	5.880000	-1	###LINE###
5	1	59	0	0	0	637.66	76.79	59.88	5.88	100	管理責任者／管理団体
3	1	60	0	0	0	50.160000	164.889080	2.940000	5.880000	-1	###FLOW###
4	1	60	0	0	0	50.160000	164.889080	2.940000	5.880000	-1	###LINE###
5	1	60	0	0	0	50.16	164.89	2.94	5.88	100	5
3	1	61	0	0	0	67.320000	164.889080	26.848080	5.880000	-1	###FLOW###
4	1	61	0	0	0	67.320000	164.889080	26.848080	5.880000	-1	###LINE###
5	1	61	0	0	0	67.32	164.89	5.88	5.88	100	建
5	1	61	0	0	1	76.30	164.89	17.86	5.88	100	第５号
3	1	62	0	0	0	102.600000	165.009080	59.880000	5.880000	-1	###FLOW###
4	1	62	0	0	0	102.600000	165.009080	59.880000	5.880000	-1	###LINE###
5	1	62	0	0	0	102.60	165.01	59.88	5.88	100	有形文化財（建造物）
3	1	63	0	0	0	187.460000	165.009080	17.880000	5.880000	-1	###FLOW###
4	1	63	0	0	0	187.460000	165.009080	17.880000	5.880000	-1	###LINE###
5	1	63	0	0	0	187.46	165.01	17.88	5.88	100	建造物
3	1	64	0	0	0	222.380000	163.658360	37.156680	3.960000	-1	###FLOW###
4	1	64	0	0	0	222.380000	163.658360	37.156680	3.960000	-1	###LINE###
5	1	64	0	0	0	222.38	163.66	37.16	3.96	100	くまのじんじゃしんでん
